Data Table for Daily Case Trends - The United States
Date generated: Sun Feb 20 2022 22:01:49 GMT-0700 (Mountain Standard Time)
State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Feb 18 2022,108159,103462,0
United States,Feb 17 2022,101303,112653,0
United States,Feb 16 2022,109422,121664,0
United States,Feb 15 2022,109969,134485,137
United States,Feb 14 2022,199342,145968,0
United States,Feb 13 2022,40950,161889,0
United States,Feb 12 2022,55089,168935,0
United States,Feb 11 2022,172496,174107,0
United States,Feb 10 2022,164386,188440,0
United States,Feb  9 2022,199169,213625,0
United States,Feb  8 2022,190344,229425,0
United States,Feb  7 2022,310794,243716,10500
United States,Feb  6 2022,90271,287948,0
United States,Feb  5 2022,91295,294779,0
United States,Feb  4 2022,272825,309605,13581
United States,Feb  3 2022,340678,345171,0
United States,Feb  2 2022,309768,378025,0
United States,Feb  1 2022,290386,415057,0
United States,Jan 31 2022,620416,445347,0
United States,Jan 30 2022,138089,508185,0
United States,Jan 29 2022,195076,530141,0
United States,Jan 28 2022,521788,545128,0
United States,Jan 27 2022,570652,580857,0
United States,Jan 26 2022,568993,609324,0
United States,Jan 25 2022,502420,639526,0
United States,Jan 24 2022,1060281,698823,0
United States,Jan 23 2022,291779,685966,0
United States,Jan 22 2022,299989,700249,0
United States,Jan 21 2022,771887,719582,0
United States,Jan 20 2022,769924,729740,0
United States,Jan 19 2022,780404,747944,0
United States,Jan 18 2022,917498,759605,0
United States,Jan 17 2022,970281,745358,0
United States,Jan 16 2022,391762,797604,0
United States,Jan 15 2022,435321,807115,0
United States,Jan 14 2022,842994,804025,46571
United States,Jan 13 2022,897348,804953,0
United States,Jan 12 2022,862036,790671,0
United States,Jan 11 2022,817765,769482,0
United States,Jan 10 2022,1336005,757515,0
United States,Jan  9 2022,458341,703195,0
United States,Jan  8 2022,413690,694937,0
United States,Jan  7 2022,849492,675806,0
United States,Jan  6 2022,797372,619474,0
United States,Jan  5 2022,713709,591028,0
United States,Jan  4 2022,734000,558803,0
United States,Jan  3 2022,955765,511503,0
United States,Jan  2 2022,400536,445076,0
United States,Jan  1 2022,279774,417524,0
United States,Dec 31 2021,455162,394634,0
United States,Dec 30 2021,598251,363092,0
United States,Dec 29 2021,488133,317600,0
United States,Dec 28 2021,402901,282621,0
United States,Dec 27 2021,490776,255023,0
United States,Dec 26 2021,207673,224009,0
United States,Dec 25 2021,119545,208747,0
United States,Dec 24 2021,234368,203681,0
United States,Dec 23 2021,279805,193251,621
United States,Dec 22 2021,243284,176397,0
United States,Dec 21 2021,209711,162644,0
United States,Dec 20 2021,273681,150596,0
United States,Dec 19 2021,100840,139093,0
United States,Dec 18 2021,84081,132579,0
United States,Dec 17 2021,161361,129172,0
United States,Dec 16 2021,161826,125324,1347
United States,Dec 15 2021,147010,121999,840
United States,Dec 14 2021,125373,119619,1725
United States,Dec 13 2021,193161,119773,0
United States,Dec 12 2021,55241,119495,0
United States,Dec 11 2021,60232,119057,0
United States,Dec 10 2021,134426,119350,0
United States,Dec  9 2021,138551,121743,0
United States,Dec  8 2021,130354,122466,0
United States,Dec  7 2021,126450,122816,0
United States,Dec  6 2021,191215,122001,0
United States,Dec  5 2021,52174,108723,0
United States,Dec  4 2021,62284,108953,0
United States,Dec  3 2021,151173,107240,0
United States,Dec  2 2021,143614,97170,0
United States,Dec  1 2021,132802,86937,0
United States,Nov 30 2021,120747,83032,165
United States,Nov 29 2021,98267,80191,171
United States,Nov 28 2021,53790,88107,92
United States,Nov 27 2021,50292,85362,51
United States,Nov 26 2021,80683,83968,19
United States,Nov 25 2021,71982,88710,76
United States,Nov 24 2021,105465,94652,245
United States,Nov 23 2021,100863,94743,126
United States,Nov 22 2021,153679,94192,50
United States,Nov 21 2021,34574,92561,490
United States,Nov 20 2021,40531,91764,81
United States,Nov 19 2021,113878,92970,100
United States,Nov 18 2021,113574,94299,10684
United States,Nov 17 2021,106108,88305,55
United States,Nov 16 2021,97006,86090,59
United States,Nov 15 2021,142260,84073,9
United States,Nov 14 2021,28992,81900,61
United States,Nov 13 2021,48978,81526,15371
United States,Nov 12 2021,123179,78737,145
United States,Nov 11 2021,71613,73883,590
United States,Nov 10 2021,90604,76300,1792
United States,Nov  9 2021,82891,74676,177
United States,Nov  8 2021,127044,73357,49
United States,Nov  7 2021,26379,72232,66
United States,Nov  6 2021,29452,71442,528
United States,Nov  5 2021,89203,71495,186
United States,Nov  4 2021,88532,71231,219
United States,Nov  3 2021,79237,70298,108
United States,Nov  2 2021,73657,70943,685
United States,Nov  1 2021,119165,75038,7959
United States,Oct 31 2021,20850,71355,64
United States,Oct 30 2021,29822,71790,569
United States,Oct 29 2021,87356,72008,137
United States,Oct 28 2021,82001,71144,21885
United States,Oct 27 2021,83750,71936,457
United States,Oct 26 2021,102325,70847,262
United States,Oct 25 2021,93381,67790,47
United States,Oct 24 2021,23899,64456,94
United States,Oct 23 2021,31349,68149,451
United States,Oct 22 2021,81303,72637,316
United States,Oct 21 2021,87548,74039,377
United States,Oct 20 2021,76124,75358,532
United States,Oct 19 2021,80926,78350,520
United States,Oct 18 2021,70047,79719,23
United States,Oct 17 2021,49747,80407,76
United States,Oct 16 2021,62767,81901,825
United States,Oct 15 2021,91114,83025,806
United States,Oct 14 2021,96787,85405,498
United States,Oct 13 2021,97068,87629,732
United States,Oct 12 2021,90505,89120,649
United States,Oct 11 2021,74865,91130,84
United States,Oct 10 2021,60207,92865,161
United States,Oct  9 2021,70630,94114,648
United States,Oct  8 2021,107773,95764,544
United States,Oct  7 2021,112361,97572,793
United States,Oct  6 2021,107500,99029,10536
